CCN,Hospital Name,Street Address,City,State,Zip Code,Telephone Number,Hospital Type,Effective Date of Certification
230001,ASCENSION BORGESS HOSPITAL,1521 GULL RD,KALAMAZOO,MI,49048,(269) 226-7000,Short Term,11/16/1965
230007,ASCENSION ST JOHN HOSPITAL,22101 MOROSS RD,DETROIT,MI,48236,(313) 343-4000,Short Term,11/16/1965
230010,HOLLAND COMMUNITY HOSPITAL,602 MICHIGAN AVE,HOLLAND,MI,49423,(616) 392-5141,Short Term,11/16/1965
230013,MCLAREN BAY REGION,1900 COLUMBUS AVE,BAY CITY,MI,48708,(989) 894-3000,Short Term,11/16/1965
230018,HENRY FORD HOSPITAL,2799 W GRAND BLVD,DETROIT,MI,48202,(313) 916-2600,Short Term,11/16/1965
230020,COVENANT MEDICAL CENTER,1447 N HARRISON,SAGINAW,MI,48602,(989) 583-0000,Short Term,11/16/1965
230021,MCLAREN FLINT,401 S BALLENGER HWY,FLINT,MI,48532,(810) 342-2000,Short Term,11/16/1965
230022,UNIVERSITY OF MICHIGAN HEALTH-METRO HEALTH,5900 BYRON CENTER AVE SW,WYOMING,MI,49519,(616) 252-7200,Short Term,11/16/1965
230026,MCLAREN NORTHERN MICHIGAN,416 CONNABLE AVE,PETOSKEY,MI,49770,(231) 487-4000,Short Term,11/16/1965
230027,MIDMICHIGAN MEDICAL CENTER-MIDLAND,4005 ANDREWS HWY,MIDLAND,MI,48670,(989) 839-3000,Short Term,11/16/1965
230029,HENRY FORD WYANDOTTE HOSPITAL,2333 BIDDLE AVE,WYANDOTTE,MI,48192,(734) 246-6000,Short Term,11/16/1965
230034,BRONSON METHODIST HOSPITAL,601 JOHN ST,KALAMAZOO,MI,49007,(269) 341-7654,Short Term,11/16/1965
230045,MCLAREN GREATER LANSING,401 W GREENLAWN AVE,LANSING,MI,48910,(517) 975-6000,Short Term,11/16/1965
230055,UP HEALTH SYSTEM - MARQUETTE,850 W BARAGA AVE,MARQUETTE,MI,49855,(906) 449-3000,Short Term,11/16/1965
230056,MUNSON MEDICAL CENTER,1105 SIXTH ST,TRAVERSE CITY,MI,49684,(231) 935-5000,Short Term,11/16/1965
230063,PROMEDICA MONROE REGIONAL HOSPITAL,718 N MACON ST,MONROE,MI,48162,(734) 240-8400,Short Term,11/16/1965
230064,ASCENSION ST MARY'S HOSPITAL,800 S WASHINGTON,SAGINAW,MI,48601,(989) 907-8000,Short Term,11/16/1965
230074,TRINITY HEALTH ANN ARBOR HOSPITAL,5301 E HURON RIVER DR,ANN ARBOR,MI,48106,(734) 712-3456,Short Term,11/16/1965
230080,TRINITY HEALTH MUSKEGON HOSPITAL,1500 E SHERMAN BLVD,MUSKEGON,MI,49444,(231) 672-2000,Short Term,11/16/1965
230084,COREWELL HEALTH BEAUMONT TROY HOSPITAL,44201 DEQUINDRE RD,TROY,MI,48085,(248) 964-5000,Short Term,11/16/1965
230085,ASCENSION PROVIDENCE HOSPITAL-SOUTHFIELD,16001 W 9 MILE RD,SOUTHFIELD,MI,48075,(248) 849-3000,Short Term,11/16/1965
230086,COREWELL HEALTH LAKELAND HOSPITAL - ST JOSEPH,1234 NAPIER AVE,SAINT JOSEPH,MI,49085,(269) 983-8300,Short Term,11/16/1965
230093,COREWELL HEALTH GRAND RAPIDS HOSPITALS,100 MICHIGAN ST NE,GRAND RAPIDS,MI,49503,(616) 486-7000,Short Term,11/16/1965
230099,HENRY FORD MACOMB HOSPITAL,15855 19 MILE RD,CLINTON TOWNSHIP,MI,48038,(586) 263-2300,Short Term,11/16/1965
230104,MYMICHIGAN MEDICAL CENTER SAULT,500 OSBORN BLVD,SAULT SAINTE MARI,MI,49783,(906) 635-4460,Short Term,11/16/1965
230107,COREWELL HEALTH DEARBORN HOSPITAL,18101 OAKWOOD BLVD,DEARBORN,MI,48124,(313) 593-7000,Short Term,11/16/1965
230112,PROMEDICA CHARLES AND VIRGINIA HICKMAN HOSPITAL,5643 N ADRIAN HWY,ADRIAN,MI,49221,(517) 265-0900,Short Term,11/16/1965
230120,COREWELL HEALTH LUDINGTON HOSPITAL,ONE ATKINSON DR,LUDINGTON,MI,49431,(231) 843-5200,Short Term,11/16/1965
230127,HURLEY MEDICAL CENTER,ONE HURLEY PLZ,FLINT,MI,48503,(810) 262-9000,Short Term,11/16/1965
230132,PENNOCK HOSPITAL,1009 W GREEN ST,HASTINGS,MI,49058,(269) 945-3451,Short Term,11/16/1965
230133,MIDMICHIGAN MEDICAL CENTER - GRATIOT,300 E WARWICK DR,ALMA,MI,48801,(989) 463-1101,Short Term,11/16/1965
230138,COREWELL HEALTH FARMINGTON HILLS HOSPITAL,28050 GRAND RIVER AVE,FARMINGTON HILLS,MI,48336,(248) 471-8000,Short Term,11/16/1965
230140,COREWELL HEALTH BIG RAPIDS HOSPITAL,605 OAK ST,BIG RAPIDS,MI,49307,(231) 796-8691,Short Term,11/16/1965
230141,MCLAREN PORT HURON,1221 PINE GROVE AVE,PORT HURON,MI,48060,(810) 987-5000,Short Term,11/16/1965
230143,MUNSON HEALTHCARE CADILLAC HOSPITAL,400 HOBART ST,CADILLAC,MI,49601,(231) 876-7200,Short Term,11/16/1965
230151,COREWELL HEALTH TRENTON HOSPITAL,5450 FORT ST,TRENTON,MI,48183,(734) 671-3800,Short Term,11/16/1965
230153,TRINITY HEALTH LIVONIA HOSPITAL,36475 FIVE MILE RD,LIVONIA,MI,48154,(734) 655-4800,Short Term,11/16/1965
230157,COREWELL HEALTH GERBER HOSPITAL,212 S SULLIVAN ST,FREMONT,MI,49412,(231) 924-3300,Short Term,11/16/1965
230161,COREWELL HEALTH ZEELAND COMMUNITY HOSPITAL,8333 FELCH ST,ZEELAND,MI,49464,(616) 772-4644,Short Term,11/16/1965
230162,COREWELL HEALTH LAKELAND NILES HOSPITAL,31 N ST JOSEPH AVE,NILES,MI,49120,(269) 683-5510,Short Term,11/16/1965
230164,GARDEN CITY HOSPITAL,6245 N INKSTER RD,GARDEN CITY,MI,48135,(734) 458-3300,Short Term,11/16/1965
230166,SPARROW HOSPITAL,1215 E MICHIGAN AVE,LANSING,MI,48912,(517) 364-1000,Short Term,11/16/1965
230172,DMC - SINAI GRACE HOSPITAL,6071 W OUTER DR,DETROIT,MI,48235,(313) 966-3300,Short Term,11/16/1965
230176,COREWELL HEALTH GROSSE POINTE HOSPITAL,468 CADIEUX RD,GROSSE POINTE,MI,48230,(313) 473-1000,Short Term,11/16/1965
230182,ASCENSION PROVIDENCE ROCHESTER HOSPITAL,1101 W UNIVERSITY DR,ROCHESTER,MI,48307,(248) 652-5000,Short Term,11/16/1965
230189,MIDMICHIGAN MEDICAL CENTER - ALPENA,1501 W CHISHOLM ST,ALPENA,MI,49707,(989) 356-7000,Short Term,11/16/1965
230191,COREWELL HEALTH UNITED HOSPITAL,615 S BOWERMAN ST,GREENVILLE,MI,48838,(616) 754-4691,Short Term,11/16/1965
230193,MUNSON HEALTHCARE GRAYLING HOSPITAL,1100 E MICHIGAN AVE,GRAYLING,MI,49738,(989) 348-5461,Short Term,11/16/1965
230194,HENRY FORD ALLEGIANCE HEALTH,205 N EAST AVE,JACKSON,MI,49201,(517) 205-4800,Short Term,11/16/1965
230206,DMC - DETROIT RECEIVING HOSPITAL,4201 ST ANTOINE,DETROIT,MI,48201,(313) 745-3000,Short Term,11/16/1965
230209,HILLSDALE HOSPITAL,168 S HOWELL ST,HILLSDALE,MI,49242,(517) 437-4451,Short Term,11/16/1965
230214,THREE RIVERS HEALTH,701 S HEALTH PKWY,THREE RIVERS,MI,49093,(269) 278-1145,Short Term,11/16/1965
230219,PROMEDICA COLDWATER REGIONAL HOSPITAL,274 E CHICAGO ST,COLDWATER,MI,49036,(517) 279-5200,Short Term,11/16/1965
230234,MCLAREN CENTRAL MICHIGAN,1221 SOUTH DR,MOUNT PLEASANT,MI,48858,(989) 772-6700,Short Term,11/16/1965
230240,DICKINSON COUNTY HEALTHCARE SYSTEM,1721 S STEPHENSON AVE,IRON MOUNTAIN,MI,49801,(906) 776-5000,Short Term,11/16/1965
230248,COREWELL HEALTH ROYAL OAK HOSPITAL,3601 W 13 MILE RD,ROYAL OAK,MI,48073,(248) 898-5000,Short Term,11/16/1965
230251,MCLAREN OAKLAND,50 N PERRY ST,PONTIAC,MI,48342,(248) 338-5000,Short Term,11/16/1965
230252,DETROIT MEDICAL CENTER-HARPER-HUTZEL,3990 JOHN R ST,DETROIT,MI,48201,(313) 745-8040,Short Term,11/16/1965
230263,TRINITY HEALTH OAKLAND HOSPITAL,44405 WOODWARD AVE,PONTIAC,MI,48341,(248) 858-5000,Short Term,11/16/1965
230264,STURGIS HOSPITAL,916 MYRTLE AVE,STURGIS,MI,49091,(269) 651-7824,Short Term,11/16/1965
230268,ASCENSION RIVER DISTRICT HOSPITAL,4100 S RIVER RD,EAST CHINA,MI,48054,(810) 329-7111,Short Term,01/01/1966
230272,UNIVERSITY OF MICHIGAN HEALTH,1500 E MEDICAL CENTER DR,ANN ARBOR,MI,48109,(734) 936-4000,Short Term,05/02/1966
230277,COREWELL HEALTH WAYNE HOSPITAL,33155 ANNAPOLIS ST,WAYNE,MI,48184,(734) 467-4000,Short Term,07/01/1986
230280,OSF ST FRANCIS HOSPITAL & MEDICAL GROUP,3401 LUDINGTON ST,ESCANABA,MI,49829,(906) 786-3311,Short Term,07/01/1986
230281,ASCENSION ST JOSEPH HOSPITAL,200 HEMLOCK,TAWAS CITY,MI,48763,(989) 362-3411,Short Term,10/01/1986
230286,ASCENSION BORGESS-LEE HOSPITAL,420 W HIGH ST,DOWAGIAC,MI,49047,(269) 782-1100,Short Term,03/24/1987
230288,HENRY FORD KINGSLEY HOSPITAL,3962 MAYFIELD RD,KINGSLEY,MI,49649,(231) 263-5221,Short Term,04/23/1987
230291,TRINITY HEALTH CHELSEA HOSPITAL,775 S MAIN ST,CHELSEA,MI,48118,(734) 593-6000,Short Term,06/23/1988
230294,STRAITH HOSPITAL FOR SPECIAL SURGERY,23901 PLUMBROOKE,SOUTHFIELD,MI,48033,(248) 357-3360,Short Term,04/20/1989
230299,MICHIGAN MEDICINE SURGERY CENTER,1250 E MEDICAL CENTER DRIVE,ANN ARBOR,MI,48109,(734) 936-4000,Short Term,05/18/1990
230302,REHABILITATION INSTITUTE OF MICHIGAN,261 MACK AVE,DETROIT,MI,48201,(313) 745-1203,Rehabilitation,09/24/1993
230303,MCLAREN LAPEER REGION,1375 N MAIN ST,LAPEER,MI,48446,(810) 667-5500,Short Term,11/01/1994
230304,CHILDREN'S HOSPITAL OF MICHIGAN,3901 BEAUBIEN,DETROIT,MI,48201,(313) 745-5437,Childrens,08/30/1995
230305,SELECT SPECIALTY HOSPITAL-BATTLE CREEK,1717 W EMITT,BATTLE CREEK,MI,49017,(269) 965-3206,Long Term,09/19/1997
230306,SELECT SPECIALTY HOSPITAL-SAGINAW,1447 N HARRISON,SAGINAW,MI,48602,(989) 583-4370,Long Term,09/26/1997
230308,ASCENSION BRIGHTON CENTER FOR RECOVERY,5601 WHITMORE LAKE RD,BRIGHTON,MI,48116,(810) 227-1211,Rehabilitation,05/29/1998
230309,MARY FREE BED REHABILITATION HOSPITAL,235 WEALTHY ST SE,GRAND RAPIDS,MI,49503,(616) 840-8000,Rehabilitation,01/21/2000
230310,SELECT SPECIALTY HOSPITAL-FLINT,401 S BALLENGER HWY,FLINT,MI,48532,(810) 342-3000,Long Term,07/19/2002
230311,SELECT SPECIALTY HOSPITAL-WYANDOTTE,2333 BIDDLE AVENUE,WYANDOTTE,MI,48192,(734) 285-6400,Long Term,10/18/2002
230312,MICHIGAN SURGICAL HOSPITAL,24001 W 12 MILE RD,SOUTHFIELD,MI,48034,(248) 883-2000,Short Term,05/30/2003
230313,SELECT SPECIALTY HOSPITAL-ANN ARBOR,5401 E HURON RIVER DR,YPSILANTI,MI,48197,(734) 712-4025,Long Term,06/20/2003
230314,SELECT SPECIALTY HOSPITAL-PONTIAC,50 N PERRY STREET,PONTIAC,MI,48342,(248) 857-7380,Long Term,09/05/2003
230315,PHYSICIANS' HOSPITAL OF MICHIGAN,7125 COBBLESTONE BLVD,CLARKSTON,MI,48348,(248) 620-5300,Short Term,12/10/2004
230316,GENESIS MEDICAL CENTER,8303 S STATE RD,GRAND BLANC,MI,48439,(810) 606-9500,Short Term,05/13/2005
230317,SPECIALTY HOSPITAL OF MID-MICHIGAN,4005 ANDREWS HWY,MIDLAND,MI,48670,(989) 839-3000,Long Term,10/28/2005
230318,SELECT SPECIALTY HOSPITAL-MACOMB COUNTY,215 N AVENUE,MOUNT CLEMENS,MI,48043,(586) 465-4591,Long Term,01/27/2006
230320,LAKELAND SPECIALTY HOSPITAL AT BERRIEN CENTE,6418 DEANS HILL RD,BERRIEN CENTER,MI,49102,(269) 473-5561,Long Term,01/26/2007
230321,DOCTORS' HOSPITAL OF MICHIGAN,461 W HURON ST,PONTIAC,MI,48341,(248) 857-7200,Short Term,07/26/2008
230322,MCLAREN HEART AND VASCULAR HOSPITAL,401 W GREENLAWN AVE,LANSING,MI,48910,(517) 975-6000,Short Term,02/10/2009
230323,SELECT SPECIALTY HOSPITAL-MUSKEGON,1700 OAK AVE,MUSKEGON,MI,49442,(231) 777-6202,Long Term,12/18/2009
230324,VIBRA HOSPITAL OF SOUTHEASTERN MICHIGAN,26400 W OUTER DR,LINCOLN PARK,MI,48146,(313) 594-6700,Long Term,04/01/2011
230325,SPARROW SPECIALTY HOSPITAL,1215 E MICHIGAN AVE,LANSING,MI,48912,(517) 364-2720,Long Term,06/24/2011
230326,SELECT SPECIALTY HOSPITAL - NORTHERN MICHIGA,416 CONNABLE AVE,PETOSKEY,MI,49770,(231) 487-4340,Long Term,11/22/2013
230327,PAM HEALTH REHABILITATION HOSPITAL OF LIVONIA,36475 FIVE MILE RD,LIVONIA,MI,48154,(734) 655-4800,Rehabilitation,01/01/2015
230328,MCLAREN ST LUKE'S HOSPITAL,7100 DUTCH RD,MAUMEE,OH,43537,(419) 893-5911,Short Term,11/01/2021
231300,MCLAREN THUMB REGION,1100 S VAN DYKE RD,BAD AXE,MI,48413,(989) 269-9521,Critical Access,03/01/2000
231301,UP HEALTH SYSTEM - PORTAGE,900 IROQUOIS ST,HANCOCK,MI,49930,(906) 483-1000,Critical Access,04/01/2000
231303,PROMEDICA DEFIANCE REGIONAL HOSPITAL,1200 RALSTON AVE,DEFIANCE,OH,43512,(419) 783-6955,Short Term,09/25/2020
231305,CHARLEVOIX AREA HOSPITAL,14700 LAKESHORE DR,EAST JORDAN,MI,49727,(231) 536-2264,Critical Access,11/01/2000
231306,MUNSON HEALTHCARE MANISTEE HOSPITAL,1465 E PARKSIDE AVE,MANISTEE,MI,49660,(231) 398-1000,Critical Access,05/01/2001
231307,EATON RAPIDS MEDICAL CENTER,1500 S MAIN,EATON RAPIDS,MI,48827,(517) 663-9400,Critical Access,06/01/2001
231308,OSCODA COMMUNITY HEALTH SYSTEM,5111 N LANSING,OSCODA,MI,48750,(989) 739-1421,Critical Access,08/01/2001
231309,MYMICHIGAN MEDICAL CENTER - WEST BRANCH,2431 S M-30,WEST BRANCH,MI,48661,(989) 345-3660,Critical Access,02/01/2002
231310,MCLAREN CARO REGION,401 N HOOPER ST,CARO,MI,48723,(989) 673-3141,Critical Access,02/01/2002
231311,SONOGRAPHYOMED DIAGNOSTIC,2450 S M-30,WEST BRANCH,MI,48661,(989) 345-3660,Critical Access,02/01/2002
231312,HOUGHTON LAKE AMBULATORY CARE,9249 W LAKE CITY RD,HOUGHTON LAKE,MI,48629,(989) 366-2200,Critical Access,04/01/2002
231313,SPECTRUM HEALTH REED CITY HOSPITAL,300 N PATTERSON RD,REED CITY,MI,49677,(231) 832-3271,Critical Access,08/01/2002
231314,ALLEGAN GENERAL HOSPITAL,555 LINN ST,ALLEGAN,MI,49010,(269) 673-8424,Critical Access,09/01/2002
231315,HARBOR BEACH COMMUNITY HOSPITAL,820 SCHOCK RD,HARBOR BEACH,MI,48441,(989) 479-3201,Critical Access,10/01/2002
231316,DECKERVILLE COMMUNITY HOSPITAL,3559 PINE ST,DECKERVILLE,MI,48427,(810) 376-2835,Critical Access,10/01/2002
231317,MACKINAC STRAITS HEALTH SYSTEM,1140 N STATE ST,SAINT IGNACE,MI,49781,(906) 643-8585,Critical Access,02/01/2003
231318,SCHOOLCRAFT MEMORIAL HOSPITAL,7870W US HWY 2,MANISTIQUE,MI,49854,(906) 341-3200,Critical Access,04/01/2003
231319,OAKLAWN HOSPITAL,200 N MADISON ST,MARSHALL,MI,49068,(269) 781-4271,Critical Access,08/01/2003
231320,PAUL OLIVER MEMORIAL HOSPITAL,224 PARK AVE,FRANKFORT,MI,49635,(231) 352-2200,Critical Access,08/01/2003
231321,SHERIDAN COMMUNITY HOSPITAL,301 N MAIN ST,SHERIDAN,MI,48884,(989) 291-3261,Critical Access,09/01/2003
231322,MARLETTE REGIONAL HOSPITAL,2770 MAIN ST,MARLETTE,MI,48453,(989) 635-4000,Critical Access,12/01/2003
231323,OTSEGO MEMORIAL HOSPITAL,825 N CENTER AVE,GAYLORD,MI,49735,(989) 731-2100,Critical Access,02/01/2004
231324,MUNISING MEMORIAL HOSPITAL,1500 SAND POINT RD,MUNISING,MI,49862,(906) 387-4110,Critical Access,02/01/2004
231325,ASPIRE HEALTH OF LAURIUM,205 OSCEOLA ST,LAURIUM,MI,49913,(906) 337-2111,Critical Access,04/01/2004
231326,BARAGA COUNTY MEMORIAL HOSPITAL,18341 US HWY 41,L'ANSE,MI,49946,(906) 524-3300,Critical Access,05/01/2004
231327,MIDMICHIGAN MEDICAL CENTER - GLADWIN,515 S QUARTZ,GLADWIN,MI,48624,(989) 246-6200,Critical Access,09/01/2004
231328,SPARROW CARSON HOSPITAL,406 E ELM ST,CARSON CITY,MI,48811,(989) 584-3131,Critical Access,12/01/2004
231329,SCHEURER HOSPITAL,170 N CASEVILLE RD,PIGEON,MI,48755,(989) 453-2141,Critical Access,02/01/2005
231330,SOUTH HAVEN COMMUNITY HOSPITAL,955 S BAILEY AVE,SOUTH HAVEN,MI,49090,(269) 637-5271,Critical Access,09/01/2005
231331,IONIA COUNTY MEMORIAL HOSPITAL,479 E MAIN ST,IONIA,MI,48846,(616) 527-4200,Critical Access,11/01/2005
231332,UP HEALTH SYSTEM - BELL,901 LAKESHORE DR,ISHPEMING,MI,49849,(906) 485-2200,Critical Access,01/01/2006
231333,COMMUNITY HOSPITAL,200 S MAIN,WATERVLIET,MI,49098,(269) 463-3158,Critical Access,09/01/2006
231334,ONTONAGON COMMUNITY AND ASPIRUS PARTNERS,601 S SEVENTH ST,ONTONAGON,MI,49953,(906) 884-8000,Critical Access,01/01/2008
231335,HELEN NEWBERRY JOY HOSPITAL,502 W HARRIE ST,NEWBERRY,MI,49868,(906) 293-9200,Critical Access,06/01/2008
231336,SPARROW CLINTON HOSPITAL,805 S DEWITT RD,SAINT JOHNS,MI,48879,(989) 224-6881,Critical Access,07/01/2008
231337,Hills and Dales General Hospital,4675 HILL ST,CASS CITY,MI,48726,(989) 872-2121,Critical Access,04/01/2009
232000,BATTLE CREEK VA MEDICAL CENTER,5500 ARMSTRONG RD,BATTLE CREEK,MI,49037,(269) 966-5600,Short Term,11/16/1965
232002,JOHN D. DINGELL VA MEDICAL CENTER,4646 JOHN R ST,DETROIT,MI,48201,(313) 576-1000,Short Term,11/16/1965
232003,VA ANN ARBOR HEALTHCARE SYSTEM,2215 FULLER RD,ANN ARBOR,MI,48105,(734) 769-7100,Short Term,11/16/1965
232004,AMEDISYS HOME HEALTH CARE,4646 JOHN R ST,DETROIT,MI,48201,(313) 576-1000,Short Term,11/16/1965
232006,OSCAR G. JOHNSON VA MEDICAL CENTER,325 E H ST,IRON MOUNTAIN,MI,49801,(906) 774-3300,Short Term,11/16/1965
234002,PINE REST CHRISTIAN HOSPITAL,300 68TH ST SE,GRAND RAPIDS,MI,49548,(616) 455-5000,Psychiatric,11/16/1965
234006,HAVENWYCK HOSPITAL,1025 S SASHABAW RD,AUBURN HILLS,MI,48326,(248) 373-9200,Psychiatric,01/01/1984
234011,FOREST VIEW HOSPITAL,1055 MEDICAL PARK DR SE,GRAND RAPIDS,MI,49546,(616) 942-9610,Psychiatric,07/01/1986
234017,HAWTHORN CENTER,18471 HAGGERTY RD,NORTHVILLE,MI,48168,(248) 735-6300,Psychiatric,12/17/1990
234018,STONE CREST CENTER,15000 GRATIOT AVE,DETROIT,MI,48205,(313) 521-9300,Psychiatric,07/19/1991
234019,WALTER P. REUTHER PSYCHIATRIC HOSPITAL,30901 PALMER RD,WESTLAND,MI,48186,(734) 722-4500,Psychiatric,06/25/1992
234020,CENTER FOR FORENSIC PSYCHIATRY,8303 PLATT RD,SALINE,MI,48176,(734) 429-2531,Psychiatric,06/25/1992
234021,HARBOR OAKS HOSPITAL,35033 23 MILE RD,NEW BALTIMORE,MI,48047,(586) 725-5777,Psychiatric,06/17/1993
234022,KALAMAZOO PSYCHIATRIC HOSPITAL,1312 OAKLAND DR,KALAMAZOO,MI,49008,(269) 337-3100,Psychiatric,05/11/1995
234023,CARO CENTER,2000 CHAMBERS RD,CARO,MI,48723,(989) 673-3191,Psychiatric,07/11/1995
234025,TEAM WELLNESS CENTER,2001 PERING ST,DETROIT,MI,48212,(313) 365-8900,Psychiatric,10/29/2015
234026,HENRY FORD BEHAVIORAL HEALTH - MT CLEMENS,215 NORTH AVE,MOUNT CLEMENS,MI,48043,(586) 466-9600,Psychiatric,03/24/2022